,goal_difference_1,form_1,form_weighted_1,goal_difference_2,form_2,form_weighted_2,home_away,target,team_1_B,team_1_C,team_1_D,team_2_B,team_2_C,team_2_D
336,18,1.8,5.4,19,1.8,1.08,1,3,1,0,0,0,0,0
337,19,1.8,1.08,18,1.8,5.4,0,0,0,0,0,1,0,0
338,-4,2.0,4.0,-17,0.4,0.8,1,3,0,1,0,0,1,0
339,-17,0.4,0.8,-4,2.0,4.0,0,0,0,1,0,0,1,0
340,10,1.8,6.6,-26,0.2,1.3199999999999998,1,3,0,0,0,0,0,1
341,-26,0.2,1.3199999999999998,10,1.8,6.6,0,0,0,0,1,0,0,0
342,-8,1.0,2.0,-4,2.0,0.4,1,3,0,1,0,0,1,0
343,-4,2.0,0.4,-8,1.0,2.0,0,0,0,1,0,0,1,0
344,2,1.4,2.8,7,1.8,0.5599999999999999,1,3,0,1,0,0,0,0
345,7,1.8,0.5599999999999999,2,1.4,2.8,0,0,0,0,0,0,1,0
346,-15,0.6,0.6,33,2.6,0.12,1,0,0,0,1,0,0,0
347,33,2.6,0.12,-15,0.6,0.6,0,3,0,0,0,0,0,1
348,16,1.2,4.8,-16,1.8,0.96,1,0,0,0,0,0,1,0
349,-16,1.8,0.96,16,1.2,4.8,0,3,0,1,0,0,0,0
350,-25,0.8,0.8,17,1.6,0.16,1,3,0,0,1,1,0,0
351,17,1.6,0.16,-25,0.8,0.8,0,0,1,0,0,0,0,1
352,-18,0.2,0.4,-5,2.0,0.08,1,0,0,0,1,0,1,0
353,-5,2.0,0.08,-18,0.2,0.4,0,3,0,1,0,0,0,1
354,3,1.4,2.8,4,1.2,0.5599999999999999,1,3,0,1,0,1,0,0
355,4,1.2,0.5599999999999999,3,1.4,2.8,0,0,1,0,0,0,1,0
356,-9,1.8,3.6,15,1.4,0.72,1,3,0,1,0,1,0,0
357,15,1.4,0.72,-9,1.8,3.6,0,0,1,0,0,0,1,0
358,-8,1.8,3.6,11,1.6,0.72,1,3,0,1,0,0,1,0
359,11,1.6,0.72,-8,1.8,3.6,0,0,0,1,0,0,1,0
360,-6,1.4,2.8,2,1.4,0.5599999999999999,1,0,0,1,0,0,1,0
361,2,1.4,0.5599999999999999,-6,1.4,2.8,0,3,0,1,0,0,1,0
362,17,1.8,6.0,-27,0.8,1.2,1,3,1,0,0,0,0,1
363,-27,0.8,1.2,17,1.8,6.0,0,0,0,0,1,1,0,0
364,20,2.0,6.6,-12,1.2,1.3199999999999998,1,3,0,0,0,0,1,0
365,-12,1.2,1.3199999999999998,20,2.0,6.6,0,0,0,1,0,0,0,0
366,5,1.2,4.8,-13,1.2,0.96,1,0,1,0,0,0,0,1
367,-13,1.2,0.96,5,1.2,4.8,0,3,0,0,1,1,0,0
368,-8,1.0,2.0,-16,0.6,0.4,1,0,0,1,0,0,0,1
369,-16,0.6,0.4,-8,1.0,2.0,0,3,0,0,1,0,1,0
370,4,0.8,2.4,33,2.2,0.48,1,1,1,0,0,0,0,0
371,33,2.2,0.48,4,0.8,2.4,0,1,0,0,0,1,0,0
372,-16,1.4,2.2,-8,1.4,0.44000000000000006,1,1,0,1,0,0,1,0
373,-8,1.4,0.44000000000000006,-16,1.4,2.2,0,1,0,1,0,0,1,0
374,-6,2.0,4.0,17,1.8,0.8,1,0,0,1,0,0,0,0
375,17,1.8,0.8,-6,2.0,4.0,0,3,0,0,0,0,1,0
376,11,1.6,3.2,3,1.6,0.64,1,1,0,1,0,0,1,0
377,3,1.6,0.64,11,1.6,3.2,0,1,0,1,0,0,1,0
378,-12,1.2,2.4,-16,0.6,0.48,1,0,0,1,0,0,0,1
379,-16,0.6,0.48,-12,1.2,2.4,0,3,0,0,1,0,1,0
380,2,1.2,2.4,-6,1.4,0.48,1,0,0,1,0,0,1,0
